Enemy Type,Kills/Deaths
boss,kill
normal,kill
normal,fainted
normal,fainted
normal,fainted
normal,fainted
normal,fainted
normal,fainted
normal,fainted
rare,fainted
rare,fainted
boss,kill
normal,fainted
normal,fainted
normal,fainted
normal,fainted
normal,fainted
normal,fainted
normal,fainted
normal,fainted
rare,fainted
rare,fainted
normal,fainted
boss,kill
normal,fainted
normal,fainted
boss,kill
boss,fainted
normal,kill
normal,kill
normal,fainted
normal,fainted
boss,fainted
normal,kill
boss,fainted
normal,fainted
rare,fainted
boss,kill
normal,kill
boss,fainted
rare,fainted
boss,kill
rare,kill
rare,fainted
rare,fainted
rare,fainted
rare,kill
rare,fainted
boss,kill
normal,kill
normal,fainted
normal,kill
normal,fainted
normal,kill
normal,fainted
normal,fainted
normal,fainted
normal,fainted
normal,kill
normal,fainted
normal,fainted
normal,kill
normal,fainted
normal,kill
normal,fainted
normal,fainted
normal,fainted
rare,kill
normal,kill
rare,kill
boss,fainted
normal,fainted
normal,fainted
normal,fainted
normal,fainted
boss,kill
boss,fainted
normal,fainted
rare,kill
normal,fainted
rare,fainted
rare,fainted
boss,kill
normal,fainted
normal,fainted
normal,fainted
normal,kill
normal,kill
rare,fainted
normal,fainted
normal,fainted
normal,kill
normal,fainted
rare,kill
normal,fainted
normal,kill
rare,fainted
boss,kill
normal,fainted
normal,kill
normal,kill
rare,fainted
normal,fainted
normal,fainted
normal,fainted
normal,fainted
normal,kill
rare,kill
rare,fainted
normal,kill
rare,kill
boss,kill
boss,kill
boss,fainted
boss,fainted
boss,fainted
boss,kill
boss,fainted
boss,fainted
boss,kill
boss,fainted
boss,fainted
boss,fainted
boss,fainted
boss,kill
boss,fainted
boss,fainted
boss,kill
boss,fainted
boss,kill
boss,fainted
boss,fainted
boss,kill
boss,kill
boss,fainted
boss,fainted
boss,kill
boss,fainted
boss,fainted
boss,fainted
boss,kill
boss,kill
boss,fainted
boss,kill
boss,kill
boss,kill
boss,fainted
boss,fainted
boss,fainted
boss,fainted
boss,fainted
boss,kill
boss,fainted
boss,kill
boss,kill
boss,kill
boss,fainted
boss,kill
boss,kill
boss,fainted
boss,kill
boss,fainted
boss,fainted
boss,fainted
boss,fainted
boss,fainted
boss,fainted
boss,fainted
boss,kill
boss,kill
boss,kill
boss,kill
boss,fainted
boss,fainted
boss,fainted
boss,fainted
boss,fainted
boss,fainted
boss,fainted
boss,fainted
